"","...1","id_play","Week","game_id","pos_team","def_pos_team","pos_team_score","def_pos_team_score","kicker_player_name","yds_fg","pts_scored","fgm","fga","fg_make_prob","fg_inds","FG_before","play_text","EPA","wpa","half","period","clock.minutes","clock.seconds","down","distance","yards_to_goal","fg_made","play_type"
"640",642,401426548102977280,2,401426548,"Middle Tennessee","Colorado State",20,0,"Zeke Rankin",35,3,1,1,0.755512505868963,1,0.766108482391808,"Zeke Rankin 35 yd FG GOOD",0.810383127588873,0.0061968,1,2,2,26,4,3,18,TRUE,"Field Goal Good"
"641",643,401426548104906496,2,401426548,"Colorado State","Middle Tennessee",19,34,"Cayden Camper",43,0,0,1,0.619714572628981,1,0.639168734710526,"Cayden Camper 43 yd FG MISSED",-2.89260031669188,-0.0133826,2,4,9,34,4,15,26,FALSE,"Field Goal Missed"
"642",644,401426549101913984,2,401426549,"North Texas","Texas Southern",3,0,"Ethan Mooney",43,3,1,1,0.619714572628981,1,0.652192662663877,"Ethan Mooney 43 yd FG GOOD",1.83646902333022,0.070237,1,1,8,59,4,8,26,TRUE,"Field Goal Good"
"643",645,401426549101979008,2,401426549,"Texas Southern","North Texas",3,10,"Richard Garcia III",24,3,1,1,0.908714578920598,1,0.91827948563184,"Richard Garcia III 24 yd FG GOOD",0.358989317705583,NA,1,1,2,9,4,3,7,TRUE,"Field Goal Good"
"644",646,401426549104968832,2,401426549,"Texas Southern","North Texas",27,59,"Richard Garcia III",39,3,1,1,0.689308840183122,1,0.697065920076346,"Richard Garcia III 39 yd FG GOOD",1.54406458718966,8.8e-05,2,4,3,11,4,13,22,TRUE,"Field Goal Good"
"645",647,401426550101927616,2,401426550,"Rice","McNeese",3,0,"Christian VanSickle",28,3,1,1,0.860213325209804,1,0.876211154250627,"Christian VanSickle 28 yd FG GOOD",0.491305246592685,0.019674,1,1,7,23,4,10,11,TRUE,"Field Goal Good"
"646",648,4.01426550102e+17,2,401426550,"Rice","McNeese",31,0,"Tim Horn",47,0,0,1,0.545617805175857,1,0.545617805175857,"Tim Horn 47 yd FG MISSED",-1.63685341552757,-0.0998361,1,2,0,0,1,10,30,FALSE,"Field Goal Missed"
"647",649,401426550103968896,2,401426550,"McNeese","Rice",10,45,"G. Smith",23,3,1,1,0.91858831898569,1,0.925484151717646,"G. Smith 23 yd FG GOOD",0.430509609767562,0.0015755,2,3,3,10,4,6,6,TRUE,"Field Goal Good"
"648",650,401426551101968576,2,401426551,"Liberty","UAB",0,0,"Nick Brown",37,0,0,1,0.722965405698557,1,0.747914498714635,"Nick Brown 37 yd FG MISSED",-2.49342313075906,-0.06721,1,1,3,13,4,3,20,FALSE,"Field Goal Missed"
"649",651,401426552101935680,2,401426552,"UTEP","New Mexico State",3,0,"Gavin Baechle",29,3,1,1,0.846304110922688,1,0.863419411905425,"Gavin Baechle 29 yd FG GOOD",0.557809616108877,0.0174124,1,1,6,42,4,9,12,TRUE,"Field Goal Good"
"650",652,401426552103959296,2,401426552,"New Mexico State","UTEP",6,20,"Ethan Albertson",37,0,0,1,0.722965405698557,1,0.744808577636546,"Ethan Albertson 37 yd FG MISSED",-6.35475033078853,-0.0513521,2,3,4,6,4,7,20,FALSE,"Field Goal Missed"
"651",653,401426552103999424,2,401426552,"UTEP","New Mexico State",20,6,"Gavin Baechle",46,3,1,1,0.564850075597405,1,0.599816710269782,"Gavin Baechle 46 yd FG GOOD",1.92990833387702,-0.0041707,2,3,0,5,4,8,29,TRUE,"Field Goal Good"
"652",654,401426553101999232,2,401426553,"UT San Antonio","Army",0,7,"Jared Sackett",48,0,0,1,0.525812504955746,1,0.557172800685994,"Jared Sackett 48 yd FG MISSED",-2.34221661271665,NA,1,1,0,7,4,30,31,FALSE,"Field Goal Missed"
"653",655,4.01426553105e+17,2,401426553,"UT San Antonio","Army",35,35,"Jared Sackett",41,0,0,1,0.654842744631629,1,0.654842744631629,"Jared Sackett 41 yd FG MISSED",-1.96452823389489,NA,2,4,0,3,2,6,24,FALSE,"Field Goal Missed"
"654",656,401426553105231104,2,401426553,"Army","UT San Antonio",38,35,"Quinn Maretzki",28,3,1,1,NA,1,NA,"Quinn Maretzki 28 yd FG GOOD",NA,NA,2,5,0,0,4,11,11,TRUE,"Field Goal Good"
"655",657,401428484101956480,2,401428484,"Michigan Tech","St. Thomas (MN)",3,6,"Drew Wyble",25,3,1,1,0.897879661726428,1,0.909500313252047,"Drew Wyble 25 yd FG GOOD",0.359050157777158,-0.1298134,1,1,4,34,4,8,8,TRUE,"Field Goal Good"
"656",658,401428484104974912,2,401428484,"Michigan Tech","St. Thomas (MN)",6,32,"Drew Wyble",40,3,1,1,0.672158198655559,1,0.680450657915843,"Drew Wyble 40 yd FG GOOD",1.57672522638245,0.000159,2,4,2,50,4,11,23,TRUE,"Field Goal Good"
"657",659,401435073103887616,2,401435073,"Merrimack","Assumption",24,0,"Lliam Davis",23,3,1,1,0.91858831898569,1,0.930545364787022,"Lliam Davis 23 yd FG GOOD",0.123417273730306,0.0072441,2,3,11,23,4,4,6,TRUE,"Field Goal Good"
"658",660,401435073104928896,2,401435073,"Assumption","Merrimack",17,31,"Nicholas Chodak",39,3,1,1,0.689308840183122,1,0.702287618808411,"Nicholas Chodak 39 yd FG GOOD",1.69061491825038,0.0206728,2,4,7,10,4,11,22,TRUE,"Field Goal Good"
"659",661,401444874101938816,2,401444874,"Arkansas-Pine Bluff","North American University",17,0,"Cristofer Thompson",37,3,1,1,0.722965405698557,1,0.752447754342307,"Cristofer Thompson 37 yd FG GOOD",0.960543832783586,0.0183748,1,1,6,11,4,5,20,TRUE,"Field Goal Good"
