"","pos_team","athlete_id","kicker_player_name","category","kicking_fgm","kicking_fga","kicking_xpa","kicking_xpm","kicking_pts","kicking_long"
"34","Ohio State","4240678","Noah Ruggles","kicking",2,3,41,41,47,25
"35","SMU","4430855","Jahari Rogers","kicking",0,0,6,6,6,0
"36","Baylor","4373032","John Mayers","kicking",2,2,15,15,21,34
"37","UCF","5085396","Colton Boomer","kicking",7,7,10,9,30,43
"38","Kansas State","4569130","Ty Zentner","kicking",0,0,1,1,1,0
"39","Charlotte","4383603","Antonio Zita","kicking",1,2,20,20,23,32
"40","Akron","4361955","Cory Smigel","kicking",1,4,4,3,6,25
"41","Auburn","4242519","Anders Carlson","kicking",6,8,14,14,32,45
"42","Bowling Green","4373432","Mason Lawler","kicking",3,4,19,19,28,45
"43","Michigan","4682758","Tommy Doman","kicking",0,0,2,2,2,0
"44","Nebraska","4880416","Brendan Franke","kicking",0,1,0,0,0,0
"45","Georgia","4433958","Jared Zirkel","kicking",1,1,0,0,3,21
"46","UAB","4689656","Reese Burkhardt","kicking",0,0,2,2,2,0
"47","North Texas","4360920","Ethan Mooney","kicking",8,9,26,26,50,43
"48","Georgia Southern","4430026","Michael Lantz","kicking",0,1,0,0,0,0
"49","Washington State","4569635","Dean Janikowski","kicking",5,7,20,20,35,38
"50","Rutgers","5092436","Jude McAtamney","kicking",9,12,15,14,41,49
"51","Louisiana Tech","4569179","Jacob Barnes","kicking",5,7,18,17,32,35
"52","Florida International","4608896","Chase Gabriel","kicking",4,5,7,7,19,49
"53","West Virginia","4262804","Parker Grothaus","kicking",0,0,3,2,2,0
"54","Boise State","4699768","Jonah Dalmas","kicking",10,12,19,19,49,48
"55","Arkansas State","4880080","Aidan Ellison","kicking",0,0,1,1,1,0
"56","Kansas","4429098","Jacob Borcila","kicking",3,6,32,32,41,40
"57","Florida Atlantic","4691984","Morgan Suarez","kicking",6,8,23,23,41,43
"58","Mississippi State","4570967","Ben Raybon","kicking",4,6,22,20,32,53
"59","Texas State","4576777","Seth Keller","kicking",6,7,16,16,34,37
"60","UMass","4573284","Cameron Carson","kicking",7,10,8,8,29,47
"61","Fresno State","4875605","Abraham Montano","kicking",7,11,14,13,34,43
"62","Louisiana","4373895","Ben Wooldridge","kicking",0,0,1,1,1,0
"63","Baylor","4879204","Isaiah Hankins","kicking",0,1,9,8,8,0
"64","Miami (OH)","4880212","Graham Nicholson","kicking",7,10,11,11,32,48
"65","Southern Mississippi","4430529","Andrew Stein","kicking",0,0,1,1,1,0
"66","UCF","4428149","Daniel Obarski","kicking",0,2,10,10,10,0
"67","Louisiana","4373653","Kenneth Almendares","kicking",1,3,2,2,5,51
"68","Troy","5082582","Robert Bruce","kicking",0,0,1,1,1,0
"69","Air Force","4887281","Matthew Dapore","kicking",10,11,17,17,47,54
"70","Penn State","4683167","Sander Sahaydak","kicking",0,1,0,0,0,0
"71","Iowa","5081335","Drew Stevens","kicking",6,7,8,8,26,51
"72","UTEP","4362050","Gavin Baechle","kicking",12,13,17,17,53,54
"73","USC","4875309","Denis Lynch","kicking",8,10,31,31,55,45
"74","Washington State","4875368","Cole Norah","kicking",0,0,1,1,1,0
"75","Boston College","4683283","Connor Lytton","kicking",5,10,15,15,30,46
"76","Texas","4880347","Bert Auburn","kicking",10,13,29,29,59,49
"77","Ohio","4912197","Nathanial Vakos","kicking",6,6,24,23,41,45
"78","Purdue","4369789","Mitchell Fineran","kicking",5,7,23,23,38,43
"79","Colorado State","4256090","Michael Boyle","kicking",2,3,3,3,9,43
"80","Louisiana","4363134","Kam Pedescleaux","kicking",0,0,1,1,1,0
"81","New Mexico","4686487","George Steinkamp","kicking",3,7,11,10,19,51
"82","Oklahoma State","4361831","Alex Hale","kicking",0,0,2,2,2,0
"83","Mississippi State","4361040","Massimo Biscardi","kicking",0,0,9,7,7,0
"84","Maryland","4363538","Chad Ryland","kicking",8,10,23,22,46,53
"85","Tennessee","4259641","Chase McGrath","kicking",8,10,28,28,52,51
"86","Purdue","4699808","Caleb Krockover","kicking",0,0,1,1,1,0
"87","UCLA","4569416","Nicholas Barr-Mira","kicking",8,11,29,29,53,49
"88","Rice","4429860","Tim Horn","kicking",0,1,0,0,0,0
"89","San Diego State","4876013","Jack Browning","kicking",9,10,12,12,39,50
"90","UCLA","5091586","Joseph Firebaugh Jr.","kicking",0,0,2,2,2,0
"91","Troy","4259576","Brooks Buce","kicking",9,10,16,16,43,48
"92","Appalachian State","4692893","Michael Hughes","kicking",3,5,24,24,33,30
"93","Oregon","4427798","Camden Lewis","kicking",7,7,31,31,52,38
"94","Wyoming","4699803","John Hoyland","kicking",15,16,16,16,61,55
"95","Southern Mississippi","4245119","Briggs Bourgeois","kicking",7,8,15,15,36,53
"96","Penn State","4361424","Jake Pinegar","kicking",4,6,21,20,32,48
"97","Akron","5089443","Noah Perez","kicking",6,7,8,8,26,42
"98","Indiana","4371971","Charles Campbell","kicking",9,11,13,13,40,51
"99","Marshall","5082559","Rece Verhoff","kicking",5,7,19,18,33,38
"100","New Mexico State","4872955","Carson Zilmer","kicking",0,1,0,0,0,0
"101","Vanderbilt","4879629","Will Faris","kicking",0,0,1,1,1,0
"102","Navy","4568548","Daniel Davies","kicking",7,8,9,9,30,46
"103","Nevada","4685167","Matthew Killam","kicking",0,1,5,4,4,0
